City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bengkulu,ID,-3.8004,102.2655,76.24,85,98,6.67,overcast clouds
1,Abu Road,IN,24.4833,72.7833,61.36,50,0,2.51,clear sky
2,Narsaq,GL,60.9167,-46.05,7.02,58,100,3.06,overcast clouds
3,Lavrentiya,RU,65.5833,-171.0,-12.64,93,5,6.2,clear sky
4,Banda Aceh,ID,5.5577,95.3222,76.14,92,100,11.63,moderate rain
5,Mocuba,MZ,-16.8392,36.9856,72.7,96,32,4.76,light rain
6,Manono,CD,-7.3,27.4167,71.06,93,99,4.09,moderate rain
7,Albany,US,42.6001,-73.9662,24.62,51,16,3.0,few clouds
8,San Carlos De Bariloche,AR,-41.1456,-71.3082,76.75,23,0,4.61,clear sky
9,Adrar,MR,20.5022,-10.0711,83.46,6,0,8.79,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,64,5.01,broken clouds
11,Cherskiy,RU,68.75,161.3,-30.3,100,33,2.1,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,68.11,49,75,17.27,broken clouds
13,Sawakin,SD,19.1059,37.3321,71.42,60,4,12.15,clear sky
14,Hengshan,CN,45.2,130.9167,-9.54,97,55,5.08,broken clouds
15,Yining,CN,29.0361,114.5636,37.08,93,100,1.86,light rain
16,Salvador,SV,13.8333,-88.9167,82.8,38,5,3.56,clear sky
17,Areosa,PT,41.7178,-8.8571,62.08,63,23,12.19,few clouds
18,Mataura,NZ,-46.1927,168.8643,39.47,99,3,2.01,clear sky
19,Nanortalik,GL,60.1432,-45.2371,13.73,72,100,18.48,overcast clouds
20,Lisakovsk,KZ,52.5369,62.4936,4.23,93,72,5.79,broken clouds
21,Airai,TL,-8.9266,125.4092,61.59,92,68,0.96,broken clouds
22,Bontang,ID,0.1333,117.5,77.22,86,90,9.6,overcast clouds
23,Hualmay,PE,-11.0964,-77.6139,74.53,70,97,9.57,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,51.46,62,75,4.61,light intensity drizzle
25,Saldanha,ZA,-33.0117,17.9442,73.45,92,43,11.32,scattered clouds
26,Strezhevoy,RU,60.7333,77.5889,12.18,96,89,8.34,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,78.91,79,7,9.53,clear sky
28,Taiobeiras,BR,-15.8078,-42.2331,72.23,86,100,5.03,moderate rain
29,Chuy,UY,-33.6971,-53.4616,70.57,52,75,15.19,broken clouds
30,Khatanga,RU,71.9667,102.5,-22.45,99,95,7.67,overcast clouds
31,Hilo,US,19.7297,-155.09,68.79,95,100,9.22,light rain
32,Eidsvag,NO,62.7767,8.0668,36.25,93,100,6.82,light rain
33,Kahului,US,20.8947,-156.47,73.85,82,0,10.36,clear sky
34,Minab,IR,27.1467,57.0801,69.3,59,0,2.3,clear sky
35,Faya,SA,18.3851,42.4509,55.51,70,5,4.29,clear sky
36,Busselton,AU,-33.65,115.3333,55.09,66,77,18.95,broken clouds
37,Mazatlan,MX,23.2167,-106.4167,69.76,78,75,3.0,broken clouds
38,Codrington,AU,-38.2667,141.9667,60.75,71,0,10.6,clear sky
39,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,9.22,broken clouds
40,Havoysund,NO,70.9963,24.6622,30.43,74,30,29.1,scattered clouds
41,New Norfolk,AU,-42.7826,147.0587,54.72,69,40,2.1,scattered clouds
42,East London,ZA,-33.0153,27.9116,76.14,83,40,17.27,scattered clouds
43,Saskylakh,RU,71.9167,114.0833,-26.75,100,97,1.32,overcast clouds
44,Santa Clara,CU,22.4,-79.9667,83.17,69,75,6.91,broken clouds
45,Avarua,CK,-21.2078,-159.775,73.45,100,20,5.75,light rain
46,Port Elizabeth,ZA,-33.918,25.5701,80.1,83,20,18.41,few clouds
47,Rikitea,PF,-23.1203,-134.9692,78.78,71,91,16.08,overcast clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,64.42,96,100,21.99,light rain
49,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,9.22,light snow
50,Qaanaaq,GL,77.484,-69.3632,-12.89,61,65,8.14,broken clouds
51,Magdagachi,RU,53.45,125.8,-9.85,98,72,2.1,broken clouds
52,Carnarvon,AU,-24.8667,113.6333,75.27,73,40,20.71,scattered clouds
53,Palu,ID,-0.8917,119.8707,75.87,91,100,3.15,overcast clouds
54,Bluff,NZ,-46.6,168.3333,39.79,81,1,5.12,clear sky
55,Cape Town,ZA,-33.9258,18.4232,80.89,43,0,1.01,clear sky
56,Hofn,IS,64.2539,-15.2082,32.02,47,0,17.27,clear sky
57,Shimoda,JP,34.6667,138.95,34.11,74,70,7.23,broken clouds
58,Kirakira,SB,-10.4544,161.9205,80.89,86,100,6.93,overcast clouds
59,Mahebourg,MU,-20.4081,57.7,80.89,83,75,9.22,broken clouds
60,Baruun-Urt,MN,46.6806,113.2792,-0.24,89,11,6.73,few clouds
61,Malur,IN,13.0075,77.9378,71.56,87,100,8.9,overcast clouds
62,Jamestown,US,42.097,-79.2353,28.18,44,0,13.0,clear sky
63,Betong,TH,5.7743,101.0723,69.85,98,100,2.68,overcast clouds
64,Champerico,GT,14.3,-91.9167,89.76,59,12,6.82,few clouds
65,Along,IN,28.1667,94.7667,48.94,97,69,0.58,broken clouds
66,Mbaiki,CF,3.8678,17.9892,82.96,24,32,2.75,scattered clouds
67,Pevek,RU,69.7008,170.3133,-24.43,99,29,1.34,scattered clouds
68,Kapaa,US,22.0752,-159.319,73.72,86,75,10.36,light rain
69,Butaritari,KI,3.0707,172.7902,81.19,78,51,15.12,light rain
70,Virginia Beach,US,36.8529,-75.978,39.22,73,18,1.99,few clouds
71,Kaoma,ZM,-14.7833,24.8,66.51,96,100,3.78,moderate rain
72,Ca Mau,VN,9.1769,105.15,79.81,70,92,10.49,overcast clouds
73,Kavieng,PG,-2.5744,150.7967,81.41,78,100,4.12,overcast clouds
74,Torbay,CA,47.6666,-52.7314,18.57,84,75,16.11,light snow
75,Arraial Do Cabo,BR,-22.9661,-42.0278,93.06,49,0,16.11,clear sky
76,Ngorongoro,TZ,-3.2397,35.4875,56.5,80,99,3.06,light rain
77,Nelson Bay,AU,-32.7167,152.15,70.0,70,94,3.0,overcast clouds
78,Pundaguitan,PH,6.3711,126.1689,80.65,77,35,21.85,scattered clouds
79,Sobolevo,RU,54.4299,31.8996,30.11,93,99,12.17,overcast clouds
80,Hobart,AU,-42.8794,147.3294,55.06,84,28,1.01,scattered clouds
81,Souillac,MU,-20.5167,57.5167,80.98,83,75,9.22,broken clouds
82,Socorro,US,31.6546,-106.3033,43.38,49,20,3.44,smoke
83,Ribeira Grande,PT,38.5167,-28.7,64.8,77,40,17.27,scattered clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,40,1.01,scattered clouds
85,Castro,BR,-24.7911,-50.0119,77.34,69,76,8.86,broken clouds
86,Kilindoni,TZ,-7.9139,39.6668,81.46,83,100,11.52,overcast clouds
87,Pokhara,NP,28.2333,83.9833,49.15,86,52,1.54,broken clouds
88,Bay Roberts,CA,47.5999,-53.2648,19.33,73,100,7.0,overcast clouds
89,Saint-Philippe,RE,-21.3585,55.7679,80.19,81,99,15.7,overcast clouds
90,Krasnaya Gorbatka,RU,55.8703,41.7641,14.74,97,99,5.12,overcast clouds
91,Annau,TM,37.8876,58.516,38.7,75,40,4.61,scattered clouds
92,Broken Hill,AU,-31.95,141.4333,73.11,35,75,13.8,broken clouds
93,Albania,AL,41.0,20.0,52.99,75,6,2.46,clear sky
94,Port Alfred,ZA,-33.5906,26.891,76.17,81,0,30.58,clear sky
95,Thompson,CA,55.7435,-97.8558,-32.64,68,20,2.3,few clouds
96,Cortez,US,37.3489,-108.5859,37.36,51,0,8.05,clear sky
97,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,64,20,15.99,few clouds
98,Kieta,PG,-6.2167,155.6333,79.81,82,96,6.44,overcast clouds
99,Atuona,PF,-9.8,-139.0333,78.67,74,10,20.47,clear sky
100,Baijiantan,CN,45.6333,85.1833,5.13,84,4,3.47,clear sky
101,Tabuk,PH,17.4189,121.4443,68.94,95,97,1.52,overcast clouds
102,Udachnyy,RU,66.4167,112.4,-15.56,82,99,3.27,overcast clouds
103,Barrow,US,71.2906,-156.7887,-20.18,69,75,8.05,snow
104,Te Anau,NZ,-45.4167,167.7167,39.52,94,3,1.57,clear sky
105,Simav,TR,39.0882,28.9777,35.08,75,1,2.08,clear sky
106,Marawi,PH,7.9986,124.2928,67.64,89,77,2.59,broken clouds
107,Kodinsk,RU,58.6881,99.1844,6.94,99,100,1.92,overcast clouds
108,Tuatapere,NZ,-46.1333,167.6833,39.81,92,3,3.83,clear sky
109,Chokurdakh,RU,70.6333,147.9167,-39.28,100,99,2.21,overcast clouds
110,Iquique,CL,-20.2208,-70.1431,71.64,66,4,6.44,clear sky
111,Kaeo,NZ,-35.1,173.7833,74.32,98,100,5.23,overcast clouds
112,Srednekolymsk,RU,67.45,153.6833,-37.07,100,61,1.1,broken clouds
113,Tesalia,CO,2.4859,-75.7292,75.4,83,84,3.44,broken clouds
114,Bujumbura,BI,-3.3822,29.3644,73.76,82,66,3.6,light rain
115,Ixcatepec,MX,21.2,-97.95,59.49,62,2,5.99,clear sky
116,Mount Gambier,AU,-37.8333,140.7667,64.31,63,1,6.91,clear sky
117,Gannan,CN,47.9147,123.5031,3.11,80,87,6.4,overcast clouds
118,Puri,IN,19.8,85.85,66.72,51,41,6.82,scattered clouds
119,Broome,US,42.2506,-75.833,26.1,64,0,3.0,clear sky
120,Sibolga,ID,1.7427,98.7792,76.51,86,100,3.94,overcast clouds
121,Slave Lake,CA,55.2834,-114.769,40.98,65,0,16.11,clear sky
122,Viedma,AR,-40.8135,-62.9967,72.81,31,15,7.31,few clouds
123,Goundam,ML,16.4145,-3.6708,85.75,6,0,9.51,clear sky
124,Provideniya,RU,64.3833,-173.3,-3.46,80,0,7.74,clear sky
125,Comonfort,MX,20.7167,-100.7667,68.2,31,0,6.29,clear sky
126,Sillamae,EE,59.3997,27.7547,32.36,97,100,16.28,light snow
127,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.17,62,98,3.87,overcast clouds
128,Nikolskoye,RU,59.7035,30.7861,34.88,94,100,12.3,light snow
129,Tasiilaq,GL,65.6145,-37.6368,23.16,60,100,26.24,overcast clouds
130,Moose Factory,CA,51.2585,-80.6094,1.4,85,100,9.22,overcast clouds
131,Baghmara,IN,23.795,86.2085,61.07,48,59,4.12,broken clouds
132,Tessalit,ML,20.1986,1.0114,78.82,7,0,4.12,clear sky
133,Claremore,US,36.3126,-95.6161,42.15,62,0,5.01,clear sky
134,Vaini,TO,-21.2,-175.2,73.56,94,100,9.22,drizzle
135,Isangel,VU,-19.55,169.2667,79.2,90,100,13.42,moderate rain
136,Livingston,GB,55.9029,-3.5226,37.53,88,20,6.91,light snow
137,Bulalacao,PH,12.3254,121.3435,78.26,80,73,19.22,broken clouds
138,Cockburn Town,TC,21.4612,-71.1419,80.56,47,40,16.11,scattered clouds
139,Georgetown,MY,5.4112,100.3354,78.73,94,40,0.0,scattered clouds
140,Anadyr,RU,64.75,177.4833,-14.3,76,0,8.95,clear sky
141,Salym,RU,60.0625,71.4789,13.77,95,99,6.64,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,82.83,70,25,11.3,scattered clouds
143,Port Lincoln,AU,-34.7333,135.8667,70.81,71,0,11.72,clear sky
144,Krasnoselkup,RU,65.7,82.4667,-19.71,100,59,7.43,broken clouds
145,Aklavik,CA,68.2191,-135.0107,-14.8,76,75,12.66,broken clouds
146,Esperance,AU,-33.8667,121.9,66.04,87,21,27.69,few clouds
147,Lewistown,US,40.5992,-77.5714,30.76,86,0,0.0,clear sky
148,North Bend,US,43.4065,-124.2243,46.15,81,0,6.91,clear sky
149,Dunedin,NZ,-45.8742,170.5036,50.81,80,24,3.04,few clouds
150,Bethel,US,41.3712,-73.414,26.65,53,0,8.05,clear sky
151,Valparaiso,CL,-33.0393,-71.6273,67.64,77,100,5.75,fog
152,Salinas,US,36.6777,-121.6555,57.99,65,0,10.36,clear sky
153,Jojoima,SL,7.8792,-10.7878,99.48,14,5,0.83,clear sky
154,Port Hardy,CA,50.6996,-127.4199,45.75,81,100,11.5,overcast clouds
155,Richards Bay,ZA,-28.783,32.0377,72.55,91,21,7.0,light rain
156,Yaan,NG,7.3833,8.5667,94.46,10,41,3.11,scattered clouds
157,Upernavik,GL,72.7868,-56.1549,-9.54,93,100,5.44,overcast clouds
158,Berdyaush,RU,55.1619,59.1464,11.61,95,100,3.78,overcast clouds
159,Naron,ES,43.5167,-8.1528,56.25,77,60,1.72,broken clouds
160,Beyneu,KZ,45.3167,55.2,28.2,76,69,8.81,broken clouds
161,Taunggyi,MM,20.7833,97.0333,50.76,71,99,3.67,overcast clouds
162,Dali,CN,25.7,100.1833,36.86,88,4,5.08,clear sky
163,Missoula,US,47.0166,-113.8009,23.52,89,95,3.76,overcast clouds
164,Nakhon Phanom,TH,17.3333,104.4167,67.96,73,79,5.79,broken clouds
165,Tatarka,RU,44.9589,41.9517,30.02,96,93,23.71,snow
166,Huayang,CN,34.4155,109.9939,18.82,85,100,3.47,overcast clouds
167,Bredasdorp,ZA,-34.5322,20.0403,79.92,50,25,11.5,scattered clouds
168,Vuktyl,RU,63.8567,57.3094,11.75,78,22,10.67,few clouds
169,Boyuibe,BO,-20.4167,-63.2833,76.91,57,96,11.68,overcast clouds
170,Mount Isa,AU,-20.7333,139.5,76.77,65,100,5.75,overcast clouds
171,Bayan,CN,46.0833,127.4,-7.2,100,92,3.74,overcast clouds
172,Bam,IR,29.106,58.357,53.06,30,4,4.29,clear sky
173,Port Said,EG,31.2565,32.2841,60.78,77,40,8.05,scattered clouds
174,Molteno,ZA,-31.3968,26.3625,70.52,45,84,4.45,broken clouds
175,Yerbogachen,RU,61.2767,108.0108,-15.66,100,92,2.33,overcast clouds
176,Trincomalee,LK,8.5711,81.2335,79.47,67,57,14.41,broken clouds
177,Farafangana,MG,-22.8167,47.8333,78.53,92,100,19.26,moderate rain
178,Pisco,PE,-13.7,-76.2167,71.02,83,99,10.36,mist
179,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,31,0,10.36,clear sky
180,Dalianwan,CN,39.0286,121.695,23.04,74,0,2.24,clear sky
181,Victoria,HK,22.2855,114.1577,62.26,82,100,5.99,overcast clouds
182,Teguise,ES,29.0605,-13.564,64.62,73,3,24.16,clear sky
183,Chabua,IN,27.4825,95.1736,55.36,80,46,3.62,scattered clouds
184,Namibe,AO,-15.1961,12.1522,76.01,66,86,14.36,overcast clouds
185,Salinopolis,BR,-0.6136,-47.3561,80.42,86,100,9.15,overcast clouds
186,Teya,RU,60.3778,92.6267,10.13,98,100,0.98,overcast clouds
187,Shingu,JP,33.7333,135.9833,39.9,71,7,6.82,clear sky
188,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,69,0,11.5,clear sky
189,Sept-Iles,CA,50.2001,-66.3821,2.05,55,20,5.01,few clouds
190,Betzdorf,DE,50.7833,7.8833,42.01,95,100,13.8,snow
191,Westport,US,41.1415,-73.3579,28.33,61,66,1.99,broken clouds
192,Yellowknife,CA,62.456,-114.3525,-10.59,90,75,11.5,broken clouds
193,Pitimbu,BR,-7.4706,-34.8086,88.39,55,63,10.02,broken clouds
194,Ahipara,NZ,-35.1667,173.1667,72.09,98,100,8.12,overcast clouds
195,Moba,CN,33.2288,105.0179,22.89,90,74,2.13,broken clouds
196,Svobodnyy,RU,51.4,128.1333,-11.24,96,100,1.79,overcast clouds
197,Hovd,MN,48.0056,91.6419,-12.96,77,10,3.29,clear sky
198,Nanning,CN,22.8167,108.3167,50.45,92,100,4.05,overcast clouds
199,Mahmudia,RO,45.0833,29.0833,37.6,75,30,12.21,scattered clouds
200,Roald,NO,62.5833,6.1333,39.34,75,75,10.36,broken clouds
201,Lazaro Cardenas,MX,17.9583,-102.2,84.0,40,6,2.04,clear sky
202,Algiers,DZ,36.7525,3.042,57.02,72,40,17.27,scattered clouds
203,Pachino,IT,36.7186,15.0907,56.61,82,100,7.76,overcast clouds
204,Mogadishu,SO,2.0371,45.3438,77.81,81,17,18.79,few clouds
205,Catuday,PH,16.2923,119.8062,75.94,72,26,11.77,scattered clouds
206,Tazovskiy,RU,67.4667,78.7,-22.54,100,94,4.14,overcast clouds
207,Mahibadhoo,MV,3.7833,72.9667,82.17,63,16,11.63,few clouds
208,Auki,SB,-8.7676,160.7034,78.71,88,100,7.74,overcast clouds
209,Santa Fe,AR,-31.6333,-60.7,78.03,35,0,8.01,clear sky
210,Vila Velha,BR,-20.3297,-40.2925,87.75,75,40,8.01,scattered clouds
211,Koumac,NC,-20.5667,164.2833,78.08,86,98,5.91,overcast clouds
212,Laguna,US,38.421,-121.4238,58.84,83,0,0.0,mist
213,Babstovo,RU,48.1167,132.4833,-13.02,98,46,2.68,scattered clouds
214,Montepuez,MZ,-13.1256,38.9997,70.0,93,33,1.39,moderate rain
215,Coquimbo,CL,-29.9533,-71.3436,67.73,72,75,10.36,broken clouds
216,Makakilo City,US,21.3469,-158.0858,72.28,76,0,5.75,clear sky
217,Iqaluit,CA,63.7506,-68.5145,-32.31,66,20,4.0,few clouds
218,Salalah,OM,17.0151,54.0924,77.09,78,0,2.3,clear sky
219,Touros,BR,-5.1989,-35.4608,90.5,54,15,12.91,few clouds
220,Barrhead,GB,55.7992,-4.3929,38.73,86,75,1.99,heavy intensity rain
221,Dikson,RU,73.5069,80.5464,-21.78,99,68,8.68,broken clouds
222,Bonavista,CA,48.6499,-53.1147,17.11,68,100,25.46,overcast clouds
223,Kenai,US,60.5544,-151.2583,20.14,92,0,0.0,clear sky
224,Fuerte Olimpo,PY,-21.0415,-57.8738,88.34,46,100,10.6,overcast clouds
225,Horn Lake,US,34.9554,-90.0348,42.8,60,0,8.01,clear sky
226,Kamenskiy,RU,50.8855,45.488,6.73,97,48,5.19,light snow
227,Baherden,TM,38.4362,57.4316,40.95,61,76,2.39,broken clouds
228,Chalmette,US,29.9427,-89.9634,51.1,51,0,5.99,clear sky
229,Vardo,NO,70.3705,31.1107,25.0,80,75,27.63,broken clouds
230,Kisangani,CD,0.5167,25.2,80.96,69,90,0.0,haze
231,Camacha,PT,33.0833,-16.3333,61.54,67,75,14.97,broken clouds
232,Uryupinsk,RU,50.8047,42.0138,23.61,94,100,5.19,overcast clouds
